doctor_id,specialization,experience_years,performance_rating,department
D00092,Urology,6,2.54,Urology
D00093,Neurology,34,3.25,Neurology
D00094,Neurology,17,1.65,Neurology
D00095,Neurology,26,2.87,Neurology
D00096,Urology,12,3.03,Urology
D00097,Cardiology,20,3.75,Cardiology
D00098,Neurology,35,3.38,Neurology
D00099,Oncology,35,2.31,Oncology
D00100,Gastroenterology,29,3.12,Gastroenterology
D00101,Urology,38,1.08,Urology
D00102,Urology,31,3.75,Urology
D00103,Cardiology,40,1.93,Cardiology
D00104,Urology,13,4.33,Urology
D00105,Urology,26,3.89,Urology
D00106,Neurology,22,1.64,Neurology
D00107,Cardiology,8,2.29,Cardiology
D00108,Neurology,40,3.99,Neurology
D00109,Gastroenterology,7,3.82,Gastroenterology
D00110,Orthopedics,5,3.15,Orthopedics
D00111,Gastroenterology,1,2.18,Gastroenterology
D00112,Orthopedics,40,3.09,Orthopedics
D00113,Neurology,11,4.97,Neurology
D00114,Gastroenterology,32,2.61,Gastroenterology
D00115,Cardiology,7,3.1,Cardiology
D00116,Emergency,29,4.21,Emergency
D00117,Neurology,30,1.11,Neurology
D00118,Orthopedics,21,4.67,Orthopedics
D00119,Oncology,39,4.39,Oncology
D00120,Orthopedics,39,3.2,Orthopedics
D00121,Oncology,20,3.14,Oncology
D00122,Urology,22,4.65,Urology
D00123,Gastroenterology,29,3.82,Gastroenterology
D00124,Oncology,4,4.06,Oncology
D00125,Orthopedics,3,1.92,Orthopedics
D00126,Urology,9,1.04,Urology
D00127,Emergency,5,2.76,Emergency
D00128,Cardiology,3,1.43,Cardiology
D00129,Cardiology,25,2.66,Cardiology
D00130,Cardiology,32,3.53,Cardiology
D00131,Oncology,33,3.42,Oncology
D00132,Emergency,18,3.76,Emergency
D00133,Oncology,36,1.57,Oncology
D00134,Gastroenterology,29,1.97,Gastroenterology
D00135,Oncology,39,3.79,Oncology
D00136,Emergency,2,1.74,Emergency
D00137,Emergency,11,1.86,Emergency
D00138,Gastroenterology,31,3.7,Gastroenterology
D00139,Emergency,4,3.91,Emergency
D00140,Orthopedics,29,2.17,Orthopedics
D00141,Emergency,3,4.49,Emergency
D00142,Cardiology,2,4.34,Cardiology
D00143,Orthopedics,36,3.4,Orthopedics
D00144,Orthopedics,14,4.31,Orthopedics
D00145,Gastroenterology,4,4.91,Gastroenterology
D00146,Pediatrics,30,4.76,Pediatrics
D00147,Pediatrics,19,1.51,Pediatrics
D00148,Emergency,19,2.52,Emergency
D00149,Orthopedics,31,3.89,Orthopedics
D00150,Pediatrics,15,1.35,Pediatrics
D00151,Pediatrics,29,1.55,Pediatrics
D00152,Emergency,3,2.61,Emergency
D00153,Pediatrics,19,1.02,Pediatrics
D00154,Oncology,22,2.76,Oncology
D00155,Urology,20,2.57,Urology
D00156,Gastroenterology,7,3.83,Gastroenterology
D00157,Urology,4,1.36,Urology
D00158,Emergency,1,2.77,Emergency
D00159,Cardiology,7,4.85,Cardiology
D00160,Gastroenterology,22,4.51,Gastroenterology
D00161,Emergency,37,3.86,Emergency
D00162,Orthopedics,30,4.91,Orthopedics
D00163,Cardiology,9,1.37,Cardiology
D00164,Urology,27,2.0,Urology
D00165,Emergency,38,1.56,Emergency
D00166,Orthopedics,23,4.05,Orthopedics
D00167,Gastroenterology,12,4.43,Gastroenterology
D00168,Gastroenterology,13,3.56,Gastroenterology
D00169,Neurology,33,2.03,Neurology
D00170,Orthopedics,15,1.49,Orthopedics
D00171,Oncology,16,3.18,Oncology
D00172,Pediatrics,34,1.59,Pediatrics
D00173,Cardiology,9,1.65,Cardiology
D00174,Orthopedics,27,3.23,Orthopedics
D00175,Neurology,15,1.39,Neurology
D00176,Pediatrics,35,4.65,Pediatrics
D00177,Pediatrics,34,1.82,Pediatrics
D00178,Emergency,40,4.31,Emergency
D00179,Pediatrics,30,3.3,Pediatrics
D00180,Oncology,23,1.62,Oncology
D00181,Gastroenterology,9,4.89,Gastroenterology
D00182,Neurology,32,3.08,Neurology
D00183,Pediatrics,35,1.98,Pediatrics
D00184,Emergency,32,1.91,Emergency
D00185,Oncology,16,1.52,Oncology
D00186,Urology,32,3.24,Urology
D00187,Gastroenterology,25,3.48,Gastroenterology
D00188,Gastroenterology,30,3.32,Gastroenterology
D00189,Neurology,37,4.37,Neurology
D00190,Gastroenterology,37,1.28,Gastroenterology
D00191,Pediatrics,35,1.11,Pediatrics
D00192,Emergency,8,4.38,Emergency
D00193,Gastroenterology,40,1.48,Gastroenterology
D00194,Gastroenterology,36,1.58,Gastroenterology
D00195,Urology,25,3.15,Urology
D00196,Urology,18,2.63,Urology
D00197,Cardiology,39,3.67,Cardiology
D00198,Oncology,10,1.76,Oncology
D00199,Pediatrics,1,4.36,Pediatrics
D00200,Gastroenterology,4,1.87,Gastroenterology
D00201,Orthopedics,26,2.73,Orthopedics
D00202,Gastroenterology,11,1.09,Gastroenterology
D00203,Emergency,15,4.86,Emergency
D00204,Cardiology,32,2.16,Cardiology
D00205,Oncology,15,3.13,Oncology
D00206,Orthopedics,28,2.91,Orthopedics
D00207,Cardiology,23,2.61,Cardiology
D00208,Neurology,3,1.72,Neurology
D00209,Oncology,32,3.48,Oncology
D00210,Gastroenterology,20,3.22,Gastroenterology
D00211,Gastroenterology,14,2.76,Gastroenterology
D00212,Oncology,35,3.2,Oncology
D00213,Gastroenterology,40,3.6,Gastroenterology
D00214,Pediatrics,9,4.44,Pediatrics
D00215,Oncology,24,1.92,Oncology
D00216,Cardiology,4,4.08,Cardiology
D00217,Oncology,12,4.26,Oncology
D00218,Orthopedics,24,3.98,Orthopedics
D00219,Gastroenterology,1,4.27,Gastroenterology
D00220,Pediatrics,14,3.31,Pediatrics
D00221,Pediatrics,31,1.09,Pediatrics
D00222,Neurology,10,3.78,Neurology
D00223,Cardiology,33,4.45,Cardiology
D00224,Urology,36,2.05,Urology
D00225,Urology,35,3.98,Urology
D00226,Oncology,18,1.45,Oncology
D00227,Neurology,25,3.58,Neurology
D00228,Emergency,12,1.23,Emergency
D00229,Oncology,28,3.19,Oncology
D00230,Neurology,9,4.51,Neurology
D00231,Cardiology,24,2.52,Cardiology
D00232,Cardiology,20,1.75,Cardiology
D00233,Cardiology,26,3.71,Cardiology
D00234,Cardiology,5,4.38,Cardiology
D00235,Cardiology,27,2.21,Cardiology
D00236,Neurology,28,3.29,Neurology
D00237,Neurology,37,3.64,Neurology
D00238,Pediatrics,40,2.56,Pediatrics
D00239,Orthopedics,7,1.27,Orthopedics
D00240,Urology,19,4.32,Urology
D00241,Gastroenterology,22,4.35,Gastroenterology
D00242,Cardiology,18,1.41,Cardiology
D00243,Emergency,15,3.35,Emergency
D00244,Gastroenterology,33,3.93,Gastroenterology
D00245,Neurology,39,1.37,Neurology
D00246,Emergency,5,4.39,Emergency
D00247,Emergency,40,2.42,Emergency
D00248,Emergency,37,3.35,Emergency
D00249,Pediatrics,5,2.51,Pediatrics
D00250,Neurology,37,3.11,Neurology
D00251,Emergency,7,3.63,Emergency
D00252,Cardiology,2,3.83,Cardiology
D00253,Oncology,30,2.61,Oncology
D00254,Emergency,11,1.45,Emergency
D00255,Pediatrics,37,2.37,Pediatrics
D00256,Gastroenterology,39,4.34,Gastroenterology
D00257,Neurology,33,3.36,Neurology
D00258,Orthopedics,9,2.79,Orthopedics
D00259,Pediatrics,11,3.68,Pediatrics
D00260,Emergency,12,4.27,Emergency
D00261,Neurology,10,4.53,Neurology
D00262,Oncology,11,3.89,Oncology
D00263,Emergency,33,1.36,Emergency
D00264,Pediatrics,20,1.89,Pediatrics
D00265,Urology,5,4.86,Urology
D00266,Cardiology,24,3.89,Cardiology
D00267,Orthopedics,32,4.57,Orthopedics
D00268,Gastroenterology,31,3.12,Gastroenterology
D00269,Pediatrics,14,1.4,Pediatrics
D00270,Neurology,19,1.57,Neurology
D00271,Orthopedics,24,4.83,Orthopedics
D00272,Orthopedics,32,2.37,Orthopedics
D00273,Orthopedics,12,2.55,Orthopedics
D00274,Emergency,21,4.9,Emergency
D00275,Cardiology,36,2.91,Cardiology
D00276,Emergency,25,1.06,Emergency
D00277,Neurology,14,3.18,Neurology
D00278,Emergency,8,3.92,Emergency
D00279,Urology,29,3.17,Urology
D00280,Cardiology,25,3.59,Cardiology
D00281,Cardiology,23,3.06,Cardiology
D00282,Neurology,36,1.9,Neurology
D00283,Gastroenterology,12,1.35,Gastroenterology
D00284,Urology,12,1.06,Urology
D00285,Pediatrics,18,3.75,Pediatrics
D00286,Emergency,36,2.55,Emergency
D00287,Oncology,19,3.05,Oncology
D00288,Emergency,35,1.47,Emergency
D00289,Orthopedics,27,3.22,Orthopedics
D00290,Emergency,3,1.99,Emergency
D00291,Pediatrics,13,4.26,Pediatrics
D00292,Emergency,38,3.39,Emergency
D00293,Urology,19,1.25,Urology
D00294,Urology,35,1.86,Urology
D00295,Cardiology,15,1.94,Cardiology
D00296,Neurology,16,4.21,Neurology
D00297,Gastroenterology,35,2.96,Gastroenterology
D00298,Oncology,5,3.57,Oncology
D00299,Orthopedics,7,2.95,Orthopedics
D00300,Emergency,21,2.62,Emergency
D00301,Emergency,1,4.29,Emergency
D00302,Pediatrics,25,4.29,Pediatrics
D00303,Neurology,30,4.37,Neurology
D00304,Urology,19,4.83,Urology
D00305,Oncology,24,2.32,Oncology
D00306,Cardiology,15,3.83,Cardiology
D00307,Urology,35,2.35,Urology
D00308,Orthopedics,24,4.57,Orthopedics
D00309,Neurology,36,3.12,Neurology
D00310,Orthopedics,14,2.49,Orthopedics
D00311,Gastroenterology,22,1.03,Gastroenterology
D00312,Cardiology,39,3.7,Cardiology
D00313,Gastroenterology,8,2.82,Gastroenterology
D00314,Pediatrics,16,1.38,Pediatrics
D00315,Orthopedics,17,2.53,Orthopedics
D00316,Pediatrics,5,3.05,Pediatrics
D00317,Emergency,35,2.33,Emergency
D00318,Gastroenterology,37,4.08,Gastroenterology
D00319,Neurology,18,3.94,Neurology
D00320,Orthopedics,21,1.47,Orthopedics
D00321,Oncology,1,3.05,Oncology
D00322,Cardiology,17,2.84,Cardiology
D00323,Urology,8,4.01,Urology
D00324,Neurology,29,2.95,Neurology
D00325,Neurology,20,2.27,Neurology
D00326,Pediatrics,37,2.88,Pediatrics
D00327,Gastroenterology,39,2.9,Gastroenterology
D00328,Orthopedics,5,1.73,Orthopedics
D00329,Orthopedics,10,2.43,Orthopedics
D00330,Emergency,6,2.66,Emergency
D00331,Emergency,7,1.22,Emergency
D00332,Cardiology,35,3.52,Cardiology
D00333,Pediatrics,27,1.84,Pediatrics
D00334,Neurology,21,2.36,Neurology
D00335,Orthopedics,24,1.72,Orthopedics
D00336,Oncology,29,3.97,Oncology
D00337,Pediatrics,27,3.21,Pediatrics
D00338,Cardiology,38,1.79,Cardiology
D00339,Cardiology,2,1.79,Cardiology
D00340,Pediatrics,25,1.91,Pediatrics
D00341,Cardiology,2,4.83,Cardiology
D00342,Pediatrics,38,2.9,Pediatrics
D00343,Urology,18,4.72,Urology
D00344,Pediatrics,7,4.97,Pediatrics
D00345,Gastroenterology,4,3.04,Gastroenterology
D00346,Pediatrics,40,1.34,Pediatrics
D00347,Cardiology,10,4.24,Cardiology
D00348,Orthopedics,28,3.44,Orthopedics
D00349,Gastroenterology,30,1.29,Gastroenterology
D00350,Cardiology,24,2.96,Cardiology
D00351,Emergency,36,3.65,Emergency
D00352,Emergency,16,2.77,Emergency
D00353,Orthopedics,33,3.31,Orthopedics
D00354,Orthopedics,10,4.74,Orthopedics
D00355,Gastroenterology,21,1.56,Gastroenterology
D00356,Urology,27,2.94,Urology
D00357,Orthopedics,21,1.03,Orthopedics
D00358,Emergency,27,2.75,Emergency
D00359,Pediatrics,32,1.83,Pediatrics
D00360,Cardiology,5,1.91,Cardiology
D00361,Emergency,35,1.92,Emergency
D00362,Emergency,22,4.04,Emergency
D00363,Urology,36,3.03,Urology
D00364,Gastroenterology,10,2.52,Gastroenterology
D00365,Gastroenterology,34,1.0,Gastroenterology
D00366,Neurology,6,4.34,Neurology
D00367,Urology,14,1.0,Urology
D00368,Pediatrics,37,4.23,Pediatrics
D00369,Gastroenterology,19,3.91,Gastroenterology
D00370,Cardiology,32,1.48,Cardiology
D00371,Orthopedics,20,3.48,Orthopedics
D00372,Urology,21,1.04,Urology
D00373,Orthopedics,15,1.89,Orthopedics
D00374,Emergency,17,1.96,Emergency
D00375,Cardiology,24,4.92,Cardiology
D00376,Cardiology,21,3.28,Cardiology
D00377,Emergency,15,1.04,Emergency
D00378,Urology,11,1.52,Urology
D00379,Emergency,37,1.77,Emergency
D00380,Orthopedics,30,4.29,Orthopedics
D00381,Neurology,18,3.71,Neurology
D00382,Cardiology,28,2.93,Cardiology
D00383,Oncology,13,4.24,Oncology
D00384,Oncology,10,2.9,Oncology
D00385,Orthopedics,39,4.26,Orthopedics
D00386,Pediatrics,12,1.88,Pediatrics
D00387,Gastroenterology,38,4.72,Gastroenterology
D00388,Emergency,40,4.83,Emergency
D00389,Emergency,26,3.55,Emergency
D00390,Pediatrics,19,3.54,Pediatrics
D00391,Pediatrics,23,3.26,Pediatrics
D00392,Orthopedics,36,2.73,Orthopedics
D00393,Orthopedics,27,1.71,Orthopedics
D00394,Pediatrics,16,1.77,Pediatrics
D00395,Cardiology,7,3.61,Cardiology
D00396,Orthopedics,13,2.87,Orthopedics
D00397,Neurology,12,1.9,Neurology
D00398,Orthopedics,27,1.37,Orthopedics
D00399,Emergency,33,4.84,Emergency
D00400,Orthopedics,31,3.75,Orthopedics
D00401,Cardiology,11,1.76,Cardiology
D00402,Pediatrics,17,4.0,Pediatrics
D00403,Emergency,38,1.68,Emergency
D00404,Orthopedics,2,3.36,Orthopedics
D00405,Cardiology,3,3.27,Cardiology
D00406,Neurology,34,1.43,Neurology
D00407,Orthopedics,32,3.66,Orthopedics
D00408,Cardiology,24,3.23,Cardiology
D00409,Neurology,24,4.21,Neurology
D00410,Pediatrics,13,4.63,Pediatrics
D00411,Orthopedics,22,3.83,Orthopedics
D00412,Neurology,19,2.21,Neurology
D00413,Emergency,30,2.31,Emergency
D00414,Pediatrics,39,2.25,Pediatrics
D00415,Emergency,21,4.45,Emergency
D00416,Oncology,23,2.93,Oncology
D00417,Urology,16,4.83,Urology
D00418,Orthopedics,7,3.62,Orthopedics
D00419,Neurology,20,3.41,Neurology
D00420,Urology,14,4.6,Urology
D00421,Urology,26,3.36,Urology
D00422,Neurology,22,4.29,Neurology
D00423,Pediatrics,36,3.0,Pediatrics
D00424,Orthopedics,26,3.39,Orthopedics
D00425,Oncology,12,2.04,Oncology
D00426,Emergency,31,4.51,Emergency
D00427,Cardiology,40,2.11,Cardiology
D00428,Emergency,4,4.85,Emergency
D00429,Cardiology,40,2.54,Cardiology
D00430,Emergency,27,2.74,Emergency
D00431,Neurology,9,2.97,Neurology
D00432,Oncology,12,2.53,Oncology
D00433,Orthopedics,29,3.3,Orthopedics
D00434,Cardiology,28,3.6,Cardiology
D00435,Orthopedics,16,1.69,Orthopedics
D00436,Orthopedics,8,4.32,Orthopedics
D00437,Orthopedics,13,3.64,Orthopedics
D00438,Gastroenterology,14,3.98,Gastroenterology
D00439,Pediatrics,15,4.76,Pediatrics
D00440,Emergency,9,4.24,Emergency
D00441,Orthopedics,32,3.47,Orthopedics
D00442,Emergency,22,2.21,Emergency
D00443,Orthopedics,25,3.39,Orthopedics
D00444,Cardiology,26,1.24,Cardiology
D00445,Pediatrics,29,3.48,Pediatrics
D00446,Pediatrics,18,2.73,Pediatrics
D00447,Neurology,36,3.78,Neurology
D00448,Gastroenterology,20,2.13,Gastroenterology
D00449,Neurology,33,3.48,Neurology
D00450,Neurology,20,4.19,Neurology
D00451,Neurology,3,1.41,Neurology
D00452,Neurology,34,3.71,Neurology
D00453,Neurology,6,4.88,Neurology
D00454,Oncology,31,4.5,Oncology
D00455,Pediatrics,35,1.58,Pediatrics
D00456,Neurology,32,2.79,Neurology
D00457,Orthopedics,9,1.96,Orthopedics
D00458,Pediatrics,27,1.29,Pediatrics
D00459,Pediatrics,24,4.16,Pediatrics
D00460,Urology,22,4.32,Urology
D00461,Oncology,30,3.62,Oncology
D00462,Neurology,36,1.36,Neurology
D00463,Emergency,26,1.31,Emergency
D00464,Cardiology,2,3.23,Cardiology
D00465,Gastroenterology,7,4.61,Gastroenterology
D00466,Orthopedics,27,1.7,Orthopedics
D00467,Emergency,16,3.53,Emergency
D00468,Oncology,29,3.0,Oncology
D00469,Cardiology,21,2.03,Cardiology
D00470,Oncology,26,2.68,Oncology
D00471,Orthopedics,18,2.81,Orthopedics
D00472,Pediatrics,1,1.6,Pediatrics
D00473,Cardiology,2,1.7,Cardiology
D00474,Pediatrics,14,3.68,Pediatrics
D00475,Orthopedics,38,1.51,Orthopedics
D00476,Emergency,15,4.12,Emergency
D00477,Orthopedics,36,4.39,Orthopedics
D00478,Emergency,24,1.46,Emergency
D00479,Cardiology,25,4.78,Cardiology
D00480,Cardiology,9,4.91,Cardiology
D00481,Neurology,15,1.22,Neurology
D00482,Oncology,37,1.01,Oncology
D00483,Neurology,6,4.79,Neurology
D00484,Oncology,12,1.36,Oncology
D00485,Neurology,27,2.08,Neurology
D00486,Pediatrics,7,2.9,Pediatrics
D00487,Cardiology,28,1.63,Cardiology
D00488,Emergency,12,2.66,Emergency
D00489,Oncology,35,4.71,Oncology
D00490,Orthopedics,2,4.55,Orthopedics
D00491,Oncology,26,1.62,Oncology
D00492,Emergency,20,4.78,Emergency
D00493,Neurology,25,3.84,Neurology
D00494,Oncology,21,4.88,Oncology
D00495,Gastroenterology,1,1.71,Gastroenterology
D00496,Pediatrics,28,1.26,Pediatrics
D00497,Cardiology,38,2.66,Cardiology
D00498,Emergency,13,4.96,Emergency
D00499,Cardiology,30,2.82,Cardiology
D00500,Gastroenterology,10,3.58,Gastroenterology
D00501,Oncology,22,3.15,Oncology
D00502,Oncology,29,4.58,Oncology
D00503,Orthopedics,5,4.48,Orthopedics
D00504,Gastroenterology,8,4.85,Gastroenterology
D00505,Emergency,11,3.44,Emergency
D00506,Orthopedics,26,3.25,Orthopedics
D00507,Pediatrics,19,1.25,Pediatrics
D00508,Orthopedics,19,2.23,Orthopedics
D00509,Urology,30,2.44,Urology
D00510,Emergency,36,3.02,Emergency
D00511,Urology,9,1.49,Urology
D00512,Gastroenterology,7,3.14,Gastroenterology
D00513,Neurology,18,2.05,Neurology
D00514,Urology,9,4.88,Urology
D00515,Pediatrics,6,1.83,Pediatrics
D00516,Orthopedics,6,1.7,Orthopedics
D00517,Neurology,22,3.06,Neurology
D00518,Orthopedics,17,4.7,Orthopedics
D00519,Urology,15,1.44,Urology
D00520,Orthopedics,9,4.67,Orthopedics
D00521,Gastroenterology,6,1.43,Gastroenterology
D00522,Neurology,23,1.69,Neurology
D00523,Gastroenterology,17,1.63,Gastroenterology
D00524,Urology,32,1.92,Urology
D00525,Gastroenterology,32,4.0,Gastroenterology
D00526,Pediatrics,37,2.7,Pediatrics
D00527,Urology,3,4.25,Urology
D00528,Urology,16,2.31,Urology
D00529,Urology,2,2.88,Urology
D00530,Emergency,3,2.98,Emergency
D00531,Orthopedics,14,2.86,Orthopedics
D00532,Emergency,14,2.59,Emergency
D00533,Emergency,30,2.4,Emergency
D00534,Pediatrics,40,4.39,Pediatrics
D00535,Neurology,27,2.63,Neurology
D00536,Orthopedics,17,1.53,Orthopedics
D00537,Gastroenterology,39,1.78,Gastroenterology
D00538,Oncology,9,3.8,Oncology
D00539,Urology,36,4.97,Urology
D00540,Gastroenterology,10,3.72,Gastroenterology
D00541,Urology,29,1.34,Urology
D00542,Pediatrics,4,3.09,Pediatrics
D00543,Urology,21,3.44,Urology
D00544,Emergency,37,3.29,Emergency
D00545,Orthopedics,2,1.65,Orthopedics
D00546,Oncology,15,3.66,Oncology
D00547,Cardiology,28,1.07,Cardiology
D00548,Urology,25,4.03,Urology
D00549,Gastroenterology,26,2.06,Gastroenterology
D00550,Emergency,9,4.85,Emergency
D00551,Cardiology,30,2.51,Cardiology
D00552,Oncology,9,1.28,Oncology
D00553,Cardiology,1,4.96,Cardiology
D00554,Emergency,12,3.54,Emergency
D00555,Orthopedics,13,3.26,Orthopedics
D00556,Orthopedics,14,2.42,Orthopedics
D00557,Neurology,10,2.81,Neurology
D00558,Orthopedics,17,2.78,Orthopedics
D00559,Neurology,17,2.08,Neurology
D00560,Cardiology,31,2.38,Cardiology
D00561,Pediatrics,26,4.75,Pediatrics
D00562,Gastroenterology,35,1.68,Gastroenterology
D00563,Gastroenterology,36,2.97,Gastroenterology
D00564,Cardiology,11,4.62,Cardiology
D00565,Urology,16,4.07,Urology
D00566,Urology,29,4.99,Urology
D00567,Orthopedics,18,4.13,Orthopedics
D00568,Gastroenterology,11,1.13,Gastroenterology
D00569,Gastroenterology,11,1.83,Gastroenterology
D00570,Neurology,9,4.72,Neurology
D00571,Pediatrics,25,4.8,Pediatrics
D00572,Emergency,32,3.2,Emergency
D00573,Urology,34,2.8,Urology
D00574,Gastroenterology,3,3.5,Gastroenterology
D00575,Neurology,14,4.6,Neurology
D00576,Oncology,40,2.87,Oncology
D00577,Neurology,25,3.56,Neurology
D00578,Urology,16,1.92,Urology
D00579,Urology,36,3.2,Urology
D00580,Neurology,9,1.54,Neurology
D00581,Emergency,4,1.07,Emergency
D00582,Cardiology,2,3.3,Cardiology
D00583,Urology,25,3.79,Urology
D00584,Neurology,22,1.93,Neurology
D00585,Gastroenterology,5,1.8,Gastroenterology
D00586,Neurology,21,3.74,Neurology
D00587,Pediatrics,10,3.46,Pediatrics
D00588,Cardiology,23,4.29,Cardiology
D00589,Oncology,27,2.08,Oncology
D00590,Emergency,30,3.81,Emergency
D00591,Orthopedics,4,1.76,Orthopedics
D00592,Oncology,6,1.99,Oncology
D00593,Cardiology,26,3.02,Cardiology
D00594,Cardiology,10,4.33,Cardiology
D00595,Cardiology,5,2.17,Cardiology
D00596,Oncology,39,1.78,Oncology
D00597,Gastroenterology,37,3.48,Gastroenterology
D00598,Cardiology,40,2.37,Cardiology
D00599,Neurology,1,2.61,Neurology
D00600,Oncology,34,3.36,Oncology
D00601,Orthopedics,8,1.36,Orthopedics
D00602,Cardiology,21,2.24,Cardiology
D00603,Neurology,31,3.33,Neurology
D00604,Gastroenterology,23,1.55,Gastroenterology
D00605,Pediatrics,11,3.18,Pediatrics
D00606,Gastroenterology,16,3.87,Gastroenterology
D00607,Orthopedics,27,3.0,Orthopedics
D00608,Cardiology,7,3.02,Cardiology
D00609,Orthopedics,24,1.62,Orthopedics
D00610,Oncology,32,1.12,Oncology
D00611,Urology,35,1.29,Urology
D00612,Cardiology,31,3.04,Cardiology
D00613,Urology,29,2.8,Urology
D00614,Neurology,4,4.25,Neurology
D00615,Pediatrics,35,2.51,Pediatrics
D00616,Emergency,11,4.73,Emergency
D00617,Orthopedics,34,2.35,Orthopedics
D00618,Gastroenterology,39,3.22,Gastroenterology
D00619,Pediatrics,15,3.69,Pediatrics
D00620,Cardiology,14,4.07,Cardiology
D00621,Urology,21,3.61,Urology
D00622,Gastroenterology,7,1.5,Gastroenterology
D00623,Urology,17,3.75,Urology
D00624,Oncology,18,1.0,Oncology
D00625,Urology,14,2.34,Urology
D00626,Oncology,38,2.91,Oncology
D00627,Neurology,29,2.65,Neurology
D00628,Gastroenterology,10,2.05,Gastroenterology
D00629,Gastroenterology,17,4.44,Gastroenterology
D00630,Emergency,32,4.97,Emergency
D00631,Cardiology,20,3.64,Cardiology
D00632,Oncology,17,1.5,Oncology
D00633,Emergency,7,1.75,Emergency
D00634,Urology,39,1.01,Urology
D00635,Urology,30,2.47,Urology
D00636,Emergency,38,4.28,Emergency
D00637,Gastroenterology,40,1.94,Gastroenterology
